Store_Code,Store_Name,City,Zone,BU_Type,Max_Truck_Allowed,Loading Window,Receiving Window,Status,Delivery_Policy,GPS_Lat,GPS_Lng,Google_Maps_Link,Notes
102,ZAERS,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-23:00,23:00-7:00,Active,Daily,,,?? Map,
103,RIAD,Rabat,Rabat-Salé-Kénitra,Market Express,19T,15:00-23:00,23:00-7:00,Active,Daily,,,?? Map,
104,SHEMS,Rabat,Rabat-Salé-Kénitra,Market Express,19T,15:00-23:00,23:00-7:00,Active,Daily,,,?? Map,
105,"L,SHOP",Casablanca,Casa-Settat,Market Express,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
8701,MARKET HARHOURA,Rabat,Rabat-Salé-Kénitra,Franchise ,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
107,MEDINA,Rabat,Rabat-Salé-Kénitra,Franchise ,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
108,HASSAN,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
109,KENITRA,Kenitra,Rabat-Salé-Kénitra,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
106,VELODROME,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
110,MEKNES,Meknes,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
113,ANFA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
111,SETTAT,Settat,Casa-Settat,Market,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
114,ELJADIDA,Eljadida,El Jadida,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
116,KASBAH,Mohammedia,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
115,LISSASSFA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
118,FONTAINE,Marrakech,Marrakech-Safi,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
117,FES IMOUZAR ,Fès,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
120,MAARIF,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
119,KHEMISSAT,Khemisset,Rabat-Salé-Kénitra,Market,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
121,SAFI,Safi,Marrakech-Safi,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
123,VALFLEURY,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
122,SALA ELJADIDA,Rabat,Rabat-Salé-Kénitra,Market,32T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
125,TADDART,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
127,AGADIR TALBORJT,Agadir,Souss-Massa,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
132,ROMANDIE,Casablanca,Casa-Settat,Market Express,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
130,WIFAK,Rabat,Rabat-Salé-Kénitra,Market,32T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
135,AIN SEBAA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
136,MEKNES PLAISANCE,Meknes,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
139,ALIA,Mohammedia,Casa-Settat,Market,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
141,SOUISSI,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
142,OULFA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
143,YACOUBMANSOUR,Casablanca,Casa-Settat,Market,19T,15:00-23:00,23:00-5:00,Active,Daily,,,?? Map,
144,ALMANAL,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
145,ANFA PLACE,Casablanca,Casa-Settat,Market,19T,15:00-23:00,23:00-5:00,Active,Daily,,,?? Map,
140,ESSAOUIRA,Essaouira,Souss-Massa,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
148,BENI MELLAL,Beni Mellal,Béni Mellal-Khénifra,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
150,AGADIR DAKHLA,Agadir,Souss-Massa,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
152,KHENIFRA,Khenifra,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
154,SIDI SLIMANE,Sidi Slimane,Rabat-Salé-Kénitra,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
155,RESISTANCE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
156,KENITRA MIMOSA,Kenitra,Rabat-Salé-Kénitra,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
158,MARRAKECH CARRE EDEN,Marrakech,Marrakech-Safi,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
159,ZIRAOUI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
162,MARRAKECH MENARA,Marrakech,Marrakech-Safi,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
153,MEGA FES,Fès,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
166,PANORAMIQUE,Casablanca,Casa-Settat,Market,19T,15:00-23:00,23:00-5:00,Active,Daily,,,?? Map,
167,ABDELMOUMEN,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
165,BERKANE,Berkane,Oriental,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
168,MEKNES MOULAY SMAIL ,Meknes,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
170,CASA BORGOUN,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
169,TANGER IBN BATOUTA,Tanger,Tanger-Tétouan,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
172,SUPECO AIN CHOK,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
173,SALA BETTANA,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
174,FES ATLAS,Fès,Fès-Meknès,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
171,TANGER MALABATA,Tanger,Tanger-Tétouan,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
177,BOUSKOURA VILLE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
178,TANGER SOREMAR,Tanger,Tanger-Tétouan,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
179,BELLE RIVE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
180,RABAT MADARASCAR,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
182,BIRANZARANE ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
176,TANGER IBERIA,Tanger,Tanger-Tétouan,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
184,AGADIR HASSAN 2,Agadir,Souss-Massa,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
183,TITOUAN WILAYA,Tetouane,Tanger-Tétouan,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
185,AGADIR ELHOUDA,Agadir,Souss-Massa,Market Express,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
187,BEAUSEJOUR MARKET,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
188,MOHAMMADIA SEBTA ,Mohammedia,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
186,CHAMPS DE COURSE,Fès,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
190,AGDAL DESCART,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
191,MARR MAJORELLE,Marrakech,Marrakech-Safi,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
189,NADOR,Nador,Oriental,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
193, CASA MOHAMED V,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
192,MOHAMMEDIA MANSOURIA,Mohammedia,Casa-Settat,Market,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
195,SEMLALIA MARRAKECH,Marrakech,Marrakech-Safi,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
196,GAUTHIER 2,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
197,OASIS  CASA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
198,KAMAL PARC,Mohammedia,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
199,KENITRA MAAMOURA,Kenitra,Rabat-Salé-Kénitra,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
194,OUARZAZAT,Ouarzazate,Drâa-Tafilalet,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
201,CARREFOUR SALE,Rabat,Rabat-Salé-Kénitra,HLV,32T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
202,ALMAZAR,Marrakech,Marrakech-Safi,HLV,32T,15:00-23:00,5:00-15:00,Active,Daily,,,?? Map,
203,HYPER FES,Fès,Fès-Meknès,HLV,32T,15:00-23:00,6:00-15:00,Active,Daily,,,?? Map,
204,HYPER OUJDA,Oujda,Oriental,HLV,32T,15:00-23-00,7:00-15:00,Active,Daily,,,?? Map,
205,HYPER TARGA,Marrakech,Marrakech-Safi,HLV,32T,15:00-23:00,5:00-15:00,Active,Daily,,,?? Map,
206,HYPER TANGER,Tanger,Tanger-Tétouan,HLV,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
207,HYPER BOUSKOURA,Casablanca,Casa-Settat,HLV,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
209,CARREFOUR TETOUAN,Tetouane,Tanger-Tétouan,HLV,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
210,HYPER DAR BOUAAZA,Casablanca,Casa-Settat,HLV,32T,15:00-23:00,23:00-5:00,Active,Daily,,,?? Map,
211,HYPER TEMARA,Rabat,Rabat-Salé-Kénitra,HLV,32T,15:00-23:00 ,23:00-05:00,Active,Daily,,,?? Map,
212,HYPER AGADIR ADRAR,Agadir,Souss-Massa,HLV,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
213,BERRECHID,Berrechid,Casa-Settat,HLV,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
217,CASA ALMAZ,Casablanca,Casa-Settat,HLV,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
301,KENITRA EXPRESS,Kenitra,Rabat-Salé-Kénitra,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
302,TEMARA EXPRESS,Temara,Temara,Market,19T,23:00-06:00,7:00-15:00,Active,Daily,,,?? Map,
303,GAUTHIER,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
304,SUPECO  MARWA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
305,SUPECO MERDOKH,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
306,SUPECO VALFLEURY,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
307,SUPECO LHAJ FATEH,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
308,SUPECO LAYMOUNE 1,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
309,SUPECO LAYMOUNE 2,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
310,SUPECO FLORIDA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
311,SUPECO SOCRATE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
312,SUPECO MEKOUAR,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
313,SUPECO AIN BORJA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
314,SUPECO RHM EMILE ZOLA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
315,SUPECO BOURNAZIL,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
316,SUPECO CHARIF EL IDRISSI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
317,SUPECO AZHAR 1,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
318,SUPECO MEBROUKA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
319,SUPECO HOUSSINE SOUSSI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
320,SUPECO  ROUDANI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
321,SUPECO IMAM CHAFII,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
322,SUPECO VALFLEURI 2,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
323,SUPECO OMAR DRISSI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
324,SUPECO Loghlam,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
325,SUPECO SAADA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
344,SUPECO LA VILLETTE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
354,SUPECO MOULAY RACHID,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
355,SUPECO AIN SEBAA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
356,SUPECO WIAM,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
357,SUPECO ROCH NOIR,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
358,WIAM OULFA EXTENSION,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
359,2 MARS TAOUS,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
360,BEAUSEJOUR MIMOZA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
361,BEAUSEJOUR LILAS,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
362,MAZOLA ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
363,SUPECO BORGOUN,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
364,SUPECO GOULMIMA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
365,SUPECO ABDELMOUME ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
366,SUPECO 11 JANVIER,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
370,SUPECO LES FIGUIRS,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
371,SUPECO CHEFCHAOUINI ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
372,SUPECO BEN MEKKI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
373,SUPECO HARTI ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
374,SUPECO IMAM MALIK,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
375,SUPECO HARTI 2,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
376,SUPECO DERB GHALAF,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
377,SUPECO MERS SULTAN,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
378,SUPECO OUAD BAHT,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
379,SUPECO HARTI 3,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
380,SUPECO  ANOUAL ,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
381,SUPECO ELQODS 1,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
382,SUPECO ELQODS 3,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
383,SUPECO BEAUSEJOUR 4,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
384,SUPECO AZHAR 4,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
385,SUPECO ASSAFAA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
386,SUPECO SAINT SAENS,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
387,SUPECO MESSIMI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
388,SUPECO ZEFZAF,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
389,SUPECO AZHAR 3,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
390,SUPECO ANASSI 1,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
391,SUPECO ANASSI 2,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
392,SUPECO AGDAL,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
394,SUPECO ZIRAOUI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
395,SUPECO NASSIM,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
396,SUPECO LHANK,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
397,SUPECO JALLAL EDDINE ESSAYOUTI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
398,SUPECO BUSSANG,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
399,SUPECO RUE DES FRANCAIS,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
218,HYPER BENI MELLAL,Beni Mellal,Béni Mellal-Khénifra,HLV,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
401,ATACADAO AIN SEBAA,Casablanca,Casa-Settat,Atacadao,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
402,ATACADAO FES,Fès,Fès-Meknès,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
404,ATACADAOAGADIR,Agadir,Souss-Massa,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
405,ATACADAO MARRAKECH,Marrakech,Marrakech-Safi,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
406,ATACADAO RABAT,Rabat,Rabat-Salé-Kénitra,Atacadao,32T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
407,ATACADAOTANGER,Tanger,Tanger-Tétouan,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
408,ATACADAO OUJDA,Oujda,Oriental,Atacadao,32T,15:00-23-00,7:00-15:00,Active,Daily,,,?? Map,
409,ATACADAO FQIH BEN SALEH,Fkih Ben Saleh,Fkih Ben Saleh,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
410,ATACADAO SIDI KACEM,Sidi Kacem,Sidi Kacem,Atacadao,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
411,ATACADAOTAZA,Taza,Taza,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
412,ATACADAO MEKNES,Meknes,Fès-Meknès,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
415,ATACADAO KENITRA ,Kenitra,Rabat-Salé-Kénitra,Atacadao,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
416,ATACADAO TIT MELIL OQBAT,Casablanca,Casa-Settat,Atacadao,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
418,ATACADAO TAROUDANT,Taroudant,Taroudant,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
419,ATACADAO TAOURIRT,Taourirt,Taourirt,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
420,ATACADAO BENI MELLAL,Beni Mellal,Béni Mellal-Khénifra,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
421,ATACADAO KALAAT SRAGHNA,Kalaat Sraghna,Kalaat Sraghna,Atacadao,32T,23:00-06:00,7:00-15:00,Active,Daily,,,?? Map,
422,ATACADAO KHEMISSAT,Khemisset,Rabat-Salé-Kénitra,Atacadao,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
423,ATACADAO NADOR,Nador,Oriental,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
424,ATACADAO ESSAOUIRA,ESSAOUIRA,ESSAOUIRA,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
425,ATACADAO LAAYOUNE,LAAYOUNE,LAAYOUNE,Atacadao,32T,23:00-06:00,7:00-15:00,Active,Daily,,,?? Map,
427,ATACADAO GUELMIM,GUELMIM,GUELMIM,Atacadao,32T,23:00-06:00,7:00-15:00,Active,Daily,,,?? Map,
428,ATACADAO OUARZAZATE,Ouarzazate,Drâa-Tafilalet,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
652,DAR BOUAZA PREMIUM,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
653,RABAT MALRAUX,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
654,RABAT OQBAT,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
656,MOHAMMEDIA HASSAN 2 ,Mohammedia,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
657,CASA PALMIER,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
660,LA VILLETTE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
661,Ain SEBAA CHEFCHAOUNI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
663,BOULEVARD RACHIDI,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
430,ATACADAO KHENIFRA,KHENIFRA,KHENIFRA,Atacadao,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
664,MEKNES SIDI SAID,Meknes,Fès-Meknès,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
667,AGADIR CADI AYYAD,Agadir,Souss-Massa,Market,32T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
669,BEN BARKA ,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
668,MARKET BOUZNIKA,Bouznika,Casa-Settat,Market,32T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
671,AGADIR  LE BARREAU,Agadir,Souss-Massa,Market,19T,15:00-23:00,7:00-15:00,Active,Daily,,,?? Map,
672,MARKET SIDI KACEM,Sidi Kacem,Sidi Kacem,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
701,RABAT OCEAN ,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
703,TEMARA HASSAN 1ER,Rabat,Rabat-Salé-Kénitra,Market,19T,15:00-4:00,7:00-15:00,Active,Daily,,,?? Map,
670,VILLE VERTE,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
705,BOURGONE  ALAWINA,Casablanca,Casa-Settat,Market,19T,23:00-7:00,7:00-15:00,Active,Daily,,,?? Map,
