Ville / City,V?hicule,Activit?,Tarif (MAD),Capacit? (Palettes),Prestataire
Agadir,32T,Fleg,7 150 MAD,32,Distrans
Agadir,32T,Sec,6 435 MAD,32,Distrans
Rabat,32T,Fleg,1 650 MAD,32,Distrans
Agadir,32T,Surgele,9 500 MAD,32,Distrans
Asfi,32T,Fleg,4 620 MAD,32,Distrans
Azro,32T,Fleg,4 500 MAD,32,Distrans
Beni Mellal,32T,Fleg,5 280 MAD,32,Distrans
Berkane,32T,Fleg,6 200 MAD,32,Distrans
Berrechid,32T,Fleg,1 700 MAD,32,Distrans
Casablanca,32T,Fleg,1 540 MAD,32,Distrans
Eljadida,32T,Fleg,2 640 MAD,32,Distrans
Essaouira,32T,Fleg,5 200 MAD,32,Distrans
Fkih Bensalah,32T,Fleg,5 060 MAD,32,Distrans
Kenitra,32T,Fleg,1 650 MAD,32,Distrans
Khemisset,32T,Fleg,2 640 MAD,32,Distrans
Khenifra,32T,Fleg,4 800 MAD,32,Distrans
Marrakech,32T,Fleg,4 840 MAD,32,Distrans
Meknes,32T,Fleg,3 630 MAD,32,Distrans
Mohammedia,32T,Fleg,1 100 MAD,32,Distrans
Nador,32T,Fleg,6 400 MAD,32,Distrans
Ouarzazate,32T,Fleg,7 250 MAD,32,Distrans
Oujda,32T,Fleg,6 400 MAD,32,Distrans
Settat,32T,Fleg,1 980 MAD,32,Distrans
Sidi Kacem,32T,Fleg,4 180 MAD,32,Distrans
Sidi Slimane,32T,Fleg,2 200 MAD,32,Distrans
Tanger,32T,Fleg,4 620 MAD,32,Distrans
Taza,32T,Fleg,4 900 MAD,32,Distrans
Tetouane,32T,Fleg,4 620 MAD,32,Distrans
Asfi,32T,Sec,4 158 MAD,32,Distrans
Azro,32T,Sec,4 200 MAD,32,Distrans
Beni Mellal,32T,Sec,5 170 MAD,32,Distrans
Berkane,32T,Sec,6 200 MAD,32,Distrans
Berrechid,32T,Sec,1 500 MAD,32,Distrans
Casablanca,32T,Sec,1 232 MAD,32,Distrans
Eljadida,32T,Sec,2 376 MAD,32,Distrans
Essaouira,32T,Sec,4 800 MAD,32,Distrans
Fkih Bensalah,32T,Sec,4 620 MAD,32,Distrans
Kenitra,32T,Sec,1 485 MAD,32,Distrans
Khemisset,32T,Sec,2 376 MAD,32,Distrans
Khenifra,32T,Sec,4 800 MAD,32,Distrans
Marrakech,32T,Sec,4 356 MAD,32,Distrans
Meknes,32T,Sec,3 267 MAD,32,Distrans
Mohammedia,32T,Sec,1 100 MAD,32,Distrans
Nador,32T,Sec,6 200 MAD,32,Distrans
Ouarzazate,32T,Sec,6 700 MAD,32,Distrans
Oujda,32T,Sec,6 400 MAD,32,Distrans
Settat,32T,Sec,1 782 MAD,32,Distrans
Sidi Kacem,32T,Sec,4 180 MAD,32,Distrans
Sidi Slimane,32T,Sec,2 200 MAD,32,Distrans
Tanger,32T,Sec,4 158 MAD,32,Distrans
Taza,32T,Sec,4 600 MAD,32,Distrans
Tetouane,32T,Sec,4 158 MAD,32,Distrans
Beni Mellal,32T,Surgele,7 000 MAD,32,Distrans
Casablanca,32T,Surgele,2 000 MAD,32,Distrans
Eljadida,32T,Surgele,3 500 MAD,32,Distrans
Fes,32T,Fleg,3 960 MAD,32,Distrans
Marrakech,32T,Surgele,6 500 MAD,32,Distrans
Meknes,32T,Surgele,4 900 MAD,32,Distrans
Oujda,32T,Surgele,9 500 MAD,32,Distrans
Rabat,32T,Sec,1 320 MAD,32,Distrans
Tanger,32T,Surgele,6 200 MAD,32,Distrans
Fes,32T,Sec,3 564 MAD,32,Distrans
Fes,32T,Surgele,5 500 MAD,32,Distrans
Rabat,32T,Surgele,2 300 MAD,32,Distrans
Bouznika,32T,Sec,900 MAD,32,Distrans
Bouznika,32T,Fleg,900 MAD,32,Distrans
Bouznika,32T,Surgele,950 MAD,32,Distrans
Taroudant,32T,Sec,6 650 MAD,32,Distrans
Taroudant,32T,Fleg,7 300 MAD,32,Distrans
Kalaa Sraghna,32T,Sec,4 500 MAD,32,Distrans
Kalaa Sraghna,32T,Fleg,5 000 MAD,32,Distrans
Yousofia,32T,Sec,4 200 MAD,32,Distrans
Yousofia,32T,Fleg,4 700 MAD,32,Distrans
Taourirt,32T,Sec,6 000 MAD,32,Distrans
Taourirt,32T,Fleg,6 300 MAD,32,Distrans
Berrechid,32T,Surgele,2 800 MAD,32,Distrans
Tinghir,32T,Sec,9 000 MAD,32,Distrans
Tinghir,32T,Fleg,9 700 MAD,32,Distrans
Tinghir,32T,Surgele,9 900 MAD,32,Distrans
Ben Slimane,32T,Sec,1 780 MAD,32,Distrans
Ben Slimane,32T,Fleg,2 400 MAD,32,Distrans
Ben Slimane,32T,Surgele,2 500 MAD,32,Distrans
Guelmim,32T,Sec,11 650 MAD,32,Distrans
Guelmim,32T,Fleg,13 600 MAD,32,Distrans
Guelmim,32T,Surgele,13 900 MAD,32,Distrans
Khouribga,32T,Sec,3 500 MAD,32,Distrans
Khouribga,32T,Fleg,4 150 MAD,32,Distrans
Khouribga,32T,Surgele,4 250 MAD,32,Distrans
Laayoune,32T,Sec,17 500 MAD,32,Distrans
Laayoune,32T,Fleg,19 600 MAD,32,Distrans
Laayoune,32T,Surgele,21 000 MAD,32,Distrans
