City,Truck,Type,Price
Agadir,19T,Fleg,"4,644"
Asfi,19T,Fleg,"2,484"
AZRO,19T,Fleg,"2,800"
Beni Mellal,19T,Fleg,"3,456"
Berkane,19T,Fleg,"4,600"
BERRECHID,19T,Fleg,"1,150"
Casablanca,19T,Fleg,"1,080"
Eljadida,19T,Fleg,"1,728"
Essaouira,19T,Fleg,"3,600"
Agadir,19T,Sec,"4,212"
Fkih Bensalah,19T,Fleg,"3,024"
Kenitra,19T,Fleg,"1,080"
Khemisset,19T,Fleg,"1,600"
Khenifra,19T,Fleg,"3,800"
Marrakech,19T,Fleg,"2,800"
Meknes,19T,Fleg,"2,700"
Mohammedia,19T,Fleg,"1,080"
Nador,19T,Fleg,"5,100"
ouarzazate,19T,Fleg,"4,800"
Oujda,19T,Fleg,"5,200"
Rabat,19T,Fleg,"1,080"
Settat,19T,Fleg,"1,620"
Sidi kacem,19T,Fleg,"2,300"
Sidi Slimane,19T,Fleg,"1,836"
Tanger,19T,Fleg,"3,200"
Taza,19T,Fleg,"3,600"
Tetouane,19T,Fleg,"3,200"
Agadir,32T,Fleg,"7,150"
Asfi,19T,Sec,"2,304"
AZRO,19T,Sec,"2,600"
Beni Mellal,19T,Sec,"2,916"
Berkane,19T,Sec,"4,000"
BERRECHID,19T,Sec,950
Casablanca,19T,Sec,756
Eljadida,19T,Sec,"1,188"
Essaouira,19T,Sec,"3,200"
Agadir,32T,Sec,"6,435"
Fkih Bensalah,19T,Sec,"2,592"
Kenitra,19T,Sec,"1,048"
Khemisset,19T,Sec,"1,404"
Khenifra,19T,Sec,"3,200"
Marrakech,19T,Sec,"2,448"
Meknes,19T,Sec,"1,944"
Mohammedia,19T,Sec,648
Nador,19T,Sec,"4,200"
ouarzazate,19T,Sec,"4,350"
Oujda,19T,Sec,"4,400"
Rabat,19T,Sec,718
Settat,19T,Sec,"1,188"
Sidi kacem,19T,Sec,"2,000"
Sidi Slimane,19T,Sec,"1,188"
Tanger,19T,Sec,"2,592"
Taza,19T,Sec,"3,400"
Tetouane,19T,sec,"2,592"
Agadir,32T,Surgelé,"9,500"
Agadir-Marrakech (Opération Sapin),32T,Fleg,"8,000"
Asfi,32T,Fleg,"4,620"
AZRO,32T,Fleg,"4,500"
Beni Mellal,32T,Fleg,"5,280"
Berkane,32T,Fleg,"6,200"
BERRECHID,32T,Fleg,"1,700"
Casablanca,32T,Fleg,"1,540"
Eljadida,32T,Fleg,"2,640"
Essaouira,32T,Fleg,"5,200"
Agadir,7T,Fleg,"3,100"
Fkih Bensalah,32T,Fleg,"5,060"
Kenitra,32T,Fleg,"1,650"
Khemisset,32T,Fleg,"2,640"
Khenifra,32T,Fleg,"4,800"
Marrakech,32T,Fleg,"4,840"
Meknes,32T,Fleg,"3,630"
Mohammedia,32T,Fleg,"1,100"
Nador,32T,Fleg,"6,400"
ouarzazate,32T,Fleg,"7,250"
Oujda,32T,Fleg,"6,400"
Rabat,32T,Fleg,"1,650"
Settat,32T,Fleg,"1,980"
Sidi kacem,32T,Fleg,"4,180"
Sidi Slimane,32T,Fleg,"2,200"
Tanger,32T,Fleg,"4,620"
Taza,32T,Fleg,"4,900"
Tetouane,32T,Fleg,"4,620"
Agadir,7T,Sec,"2,900"
Asfi,32T,Sec,"4,158"
AZRO,32T,Sec,"4,200"
Beni Mellal,32T,Sec,"5,170"
Berkane,32T,Sec,"6,200"
BERRECHID,32T,Sec,"1,500"
Casablanca,32T,Sec,"1,232"
Eljadida,32T,Sec,"2,376"
Essaouira,32T,Sec,"4,800"
Fes,19T,Fleg,"3,024"
Fkih Bensalah,32T,Sec,"4,620"
Kenitra,32T,Sec,"1,485"
Khemisset,32T,Sec,"2,376"
Khenifra,32T,Sec,"4,800"
Marrakech,32T,Sec,"4,356"
Meknes,32T,Sec,"3,267"
Mohammedia,32T,Sec,"1,100"
Nador,32T,Sec,"6,200"
ouarzazate,32T,sec,"6,700"
Oujda,32T,Sec,"6,400"
Rabat,32T,Sec,"1,320"
Settat,32T,Sec,"1,782"
Sidi kacem,32T,Sec,"4,180"
Sidi Slimane,32T,Sec,"2,200"
Tanger,32T,Sec,"4,158"
Taza,32T,Sec,"4,600"
Tetouane,32T,Sec,"4,158"
Fes,19T,Sec,"2,160"
Beni Mellal,32T,Surgelé,"7,000"
Casablanca,32T,Surgelé,"2,000"
Eljadida,32T,Surgelé,"3,500"
Fes,32T,Fleg,"3,960"
Marrakech,32T,Surgelé,"6,500"
Meknes,32T,Surgelé,"4,900"
Oujda,32T,Surgelé,"9,500"
Rabat,32T,Surgelé,"2,300"
Tanger,32T,Surgelé,"6,200"
Fes,32T,Sec,"3,564"
Asfi,7T,Fleg,"1,850"
AZRO,7T,Fleg,"2,000"
Beni Mellal,7T,Fleg,"2,000"
Berkane,7T,Fleg,"3,800"
BERRECHID,7T,Fleg,800
Casablanca,7T,Fleg,700
Eljadida,7T,Fleg,"1,000"
Essaouira,7T,Fleg,"2,600"
Fes,32T,Surgelé,"5,500"
Fkih Bensalah,7T,Fleg,"1,450"
Kenitra,7T,Fleg,800
Khemisset,7T,Fleg,"1,000"
Khenifra,7T,Fleg,"2,600"
Marrakech,7T,Fleg,"1,850"
Meknes,7T,Fleg,"1,300"
Mohammedia,7T,Fleg,600
Nador,7T,Fleg,"3,300"
ouarzazate,7T,Fleg,"2,900"
Oujda,7T,Fleg,"3,600"
Rabat,7T,Fleg,750
settat,7T,Fleg,900
Sidi kacem,7T,Fleg,"1,550"
Sidi Slimane,7T,Fleg,"1,100"
Tanger,7T,Fleg,"1,850"
Taza,7T,Fleg,"2,400"
Tetouane,7T,Fleg,"2,100"
Fes,7T,Fleg,"1,650"
Asfi,7T,Sec,"1,800"
AZRO,7T,Sec,"1,800"
Beni Mellal,7T,Sec,"1,900"
Berkane,7T,Sec,"3,400"
BERRECHID,7T,Sec,740
Casablanca,7T,Sec,640
Eljadida,7T,Sec,950
Essaouira,7T,Sec,"2,500"
Fes,7T,Sec,"1,400"
Fkih Bensalah,7T,Sec,"1,400"
Kenitra,7T,Sec,750
Khemisset,7T,Sec,900
Khenifra,7T,Sec,"2,500"
Marrakech,7T,Sec,"1,500"
Meknes,7T,Sec,"1,200"
Mohammedia,7T,Sec,500
Nador,7T,Sec,"3,200"
ouarzazate,7T,Sec,"2,800"
Oujda,7T,Sec,"3,400"
Rabat,7T,Sec,700
Settat,7T,Sec,850
Sidi kacem,7T,Sec,"1,500"
Sidi Slimane,7T,Sec,"1,050"
BOUZNIKA,7T,SEC,400
BOUZNIKA,7T,Fleg,500
BOUZNIKA,7T,Surgelé,550
BOUZNIKA,19T,Sec,550
BOUZNIKA,19T,Fleg,800
BOUZNIKA,19T,Surgelé,750
BOUZNIKA,32T,Sec,900
BOUZNIKA,32T,Fleg,900
BOUZNIKA,32T,Surgelé,950
TAROUDANT,19T,Sec,"4,400"
TAROUDANT,19T,Fleg,"4,850"
TAROUDANT,32T,Sec,"6,650"
TAROUDANT,32T,Fleg,"7,300"
TAROUDANT,7T,Sec,"3,050"
TAROUDANT,7T,Fleg,"3,400"
Tanger,7T,Sec,"1,800"
Taza,7T,Sec,"2,200"
Tetouane,7T,Sec,"2,000"
Groupage,,Fleg,75
groupage RABAT et CASA FLEG,,FLEG,100
Groupage,,SEC,150
groupage RABAT et CASA SEC,,SEC,100
KALAA SRAGHNA,7T,SEC,"1,600"
KALAA SRAGHNA,7T,FLEG,"1,950"
KALAA SRAGHNA,7T,Surgelé,"2,100"
YOUSOFIA,7T,SEC,"1,450"
YOUSOFIA,7T,FLEG,"1,790"
YOUSOFIA,7T,Surgelé,"1,830"
TAOURIRT,7T,SEC,"3,100"
TAOURIRT,7T,FLEG,"3,300"
TAOURIRT,7T,Surgelé,"3,800"
Taroudant,7T,Surgelé,"4,200"
KALAA SRAGHNA,19T,SEC,"2,600"
KALAA SRAGHNA,19T,Fleg,"3,150"
KALAA SRAGHNA,19T,Surgelé,
YOUSOFIA,19T,SEC,"2,400"
YOUSOFIA,19T,Fleg,"2,600"
YOUSOFIA,19T,Surgelé,
TAOURIRT,19T,SEC,"4,100"
TAOURIRT,19T,Fleg,"4,500"
TAOURIRT,19T,Surgelé,
Taroudant,19T,Surgelé,
KALAA SRAGHNA,32T,SEC,"4,500"
KALAA SRAGHNA,32T,Fleg,"5,000"
KALAA SRAGHNA,32T,Surgelé,
YOUSOFIA,32T,SEC,"4,200"
YOUSOFIA,32T,Fleg,"4,700"
YOUSOFIA,32T,Surgelé,
TAOURIRT,32T,SEC,"6,000"
TAOURIRT,32T,Fleg,"6,300"
TAOURIRT,32T,Surgelé,
Taroudant,32T,Surgelé,
Berrchid ,32T,Surgelé,"2,800"
TINGHIR,32T,Sec,"9,000"
TINGHIR,32T,Fleg,"9,700"
TINGHIR,32T,Surgelé,"9,900"
TINGHIR,19T,Sec,"6,050"
TINGHIR,19T,Fleg,"6,700"
TINGHIR,19T,Surgelé,"7,100"
TINGHIR,7T,Sec,"4,000"
TINGHIR,7T,Fleg,"4,250"
TINGHIR,7T,Surgelé,"4,700"
BEN SLIMANE ,7T,Sec,700
BEN SLIMANE ,7T,Fleg,             800
BEN SLIMANE ,7T,Surgelée,             900
GUELMIM ,7T,Sec,"5,400"
GUELMIM ,7T,Fleg,"5,900"
GUELMIM ,7T,Surgelée,"6,100"
KHOURIBGA,7T,Sec,"1,650"
KHOURIBGA,7T,Fleg,"1,800"
KHOURIBGA,7T,Surgelée,          1 900
LAAYOUNE,7T,Sec,"7,950"
LAAYOUNE,7T,Fleg,"8,500"
LAAYOUNE,7T,Surgelée,"8,900"
BEN SLIMANE ,19T,Sec,"1,100"
BEN SLIMANE ,19T,Fleg,       1 320
BEN SLIMANE ,19T,Surgelée,"1,550"
GUELMIM ,19T,Sec,"7,850"
GUELMIM ,19T,Fleg,"8,600"
GUELMIM ,19T,Surgelée,"9,250"
KHOURIBGA,19T,Sec,"2,350"
KHOURIBGA,19T,Fleg,       2 600
KHOURIBGA,19T,Surgelée,"2,850"
LAAYOUNE,19T,Sec,"11,600"
LAAYOUNE,19T,Fleg,"12,600"
LAAYOUNE,19T,Surgelée,"13,600"
BEN SLIMANE ,32T,Sec,"1,780"
BEN SLIMANE ,32T,Fleg,"2,400"
BEN SLIMANE ,32T,Surgelée,"2,500"
GUELMIM ,32T,Sec,"11,650"
GUELMIM ,32T,Fleg,"13,600"
GUELMIM ,32T,Surgelée,"13,900"
KHOURIBGA,32T,Sec,       3 500
KHOURIBGA,32T,Fleg,       4 150
KHOURIBGA,32T,Surgelée,"4,250"
LAAYOUNE,32T,Sec,"17,500"
LAAYOUNE,32T,Fleg,"19,600"
LAAYOUNE,32T,Surgelée,"21,000"
